date,tot_cases,tot_cases_conf,tot_cases_prob,tot_deaths,tot_deaths_conf,tot_deaths_prob,new_cases,new_deaths,audit_deaths,new_cases_conf,new_cases_prob,new_deaths_conf,new_deaths_prob,new_cases_18_and_under,new_cases_18_and_under_conf,new_cases_18_and_under_prob,actual_deaths
2021-08-25,552501,408363.0,144138.0,7640.0,6848.0,792.0,4849.0,65.0,,3213.0,1636.0,62.0,3.0,1518.0,957.0,561.0,65.0
2021-08-24,547657,405210.0,142447.0,7575.0,6786.0,789.0,4638.0,17.0,,3106.0,1532.0,13.0,4.0,1335.0,847.0,488.0,17.0
2021-08-23,543031,402152.0,140879.0,7558.0,6773.0,785.0,2596.0,17.0,,2124.0,472.0,12.0,5.0,695.0,567.0,128.0,17.0
2021-08-22,540447,400061.0,140386.0,7541.0,6761.0,780.0,2630.0,9.0,,2066.0,564.0,9.0,0.0,775.0,598.0,177.0,9.0
2021-08-21,537817,397995.0,139822.0,7532.0,6752.0,780.0,3387.0,15.0,,2335.0,1052.0,14.0,1.0,950.0,636.0,314.0,15.0
2021-08-20,534430,395654.0,138776.0,7517.0,6739.0,778.0,3869.0,6.0,34.0,2815.0,1054.0,3.0,3.0,1158.0,804.0,354.0,6.0
2021-08-19,530573,392866.0,137707.0,7477.0,6703.0,774.0,4836.0,9.0,,3453.0,1383.0,8.0,1.0,1275.0,892.0,383.0,9.0
2021-08-18,525746,389397.0,136349.0,7468.0,6695.0,773.0,3576.0,9.0,,2542.0,1034.0,8.0,1.0,987.0,691.0,296.0,9.0
2021-08-17,522209,386898.0,135311.0,7459.0,6687.0,772.0,3276.0,8.0,,2063.0,1213.0,7.0,1.0,849.0,534.0,315.0,8.0
2021-08-16,518987,384918.0,134069.0,7451.0,6680.0,771.0,2100.0,9.0,,1584.0,516.0,7.0,2.0,548.0,418.0,130.0,9.0
2021-08-15,516901,383376.0,133525.0,7442.0,6673.0,769.0,2280.0,8.0,,1799.0,481.0,7.0,1.0,538.0,406.0,132.0,8.0
2021-08-14,514621,381577.0,133044.0,7434.0,6666.0,768.0,2398.0,8.0,,1494.0,904.0,7.0,1.0,603.0,358.0,245.0,8.0
2021-08-13,512224,380067.0,132157.0,7426.0,6659.0,767.0,4009.0,12.0,,2728.0,1281.0,11.0,1.0,929.0,617.0,312.0,12.0
2021-08-12,508310,377394.0,130916.0,7414.0,6648.0,766.0,2713.0,6.0,,1655.0,1058.0,6.0,0.0,606.0,370.0,236.0,6.0
2021-08-11,505632,375773.0,129859.0,7408.0,6642.0,766.0,2961.0,14.0,,1858.0,1103.0,14.0,0.0,611.0,389.0,222.0,14.0
2021-08-10,502712,373941.0,128771.0,7394.0,6628.0,766.0,2500.0,7.0,,1641.0,859.0,7.0,0.0,490.0,304.0,186.0,7.0
2021-08-09,500267,372326.0,127941.0,7387.0,6621.0,766.0,1301.0,7.0,,918.0,383.0,5.0,2.0,269.0,188.0,81.0,7.0
2021-08-08,498966,371408.0,127558.0,7380.0,6616.0,764.0,1442.0,4.0,,1066.0,376.0,4.0,0.0,285.0,216.0,69.0,4.0
2021-08-07,497524,370342.0,127182.0,7376.0,6612.0,764.0,2420.0,4.0,,1588.0,832.0,4.0,0.0,529.0,339.0,190.0,4.0
2021-08-06,495132,368767.0,126365.0,7372.0,6608.0,764.0,2612.0,6.0,,1773.0,839.0,6.0,0.0,525.0,333.0,192.0,6.0
2021-08-05,492556,367007.0,125549.0,7366.0,6602.0,764.0,2217.0,4.0,,1512.0,705.0,4.0,0.0,478.0,309.0,169.0,4.0
2021-08-04,490399,365528.0,124871.0,7362.0,6598.0,764.0,2583.0,10.0,,1511.0,1072.0,10.0,0.0,512.0,270.0,242.0,10.0
2021-08-03,487871,364067.0,123804.0,7352.0,6588.0,764.0,1803.0,4.0,,981.0,822.0,4.0,0.0,372.0,187.0,185.0,4.0
2021-08-02,486115,363130.0,122985.0,7348.0,6584.0,764.0,1052.0,5.0,,703.0,349.0,5.0,0.0,231.0,146.0,85.0,5.0
2021-08-01,485063,362427.0,122636.0,7343.0,6579.0,764.0,903.0,3.0,,707.0,196.0,1.0,2.0,178.0,132.0,46.0,3.0
2021-07-31,484160,361720.0,122440.0,7340.0,6578.0,762.0,1571.0,6.0,,1027.0,544.0,6.0,0.0,313.0,194.0,119.0,6.0
2021-07-30,482599,360682.0,121917.0,7334.0,6572.0,762.0,1648.0,7.0,,1002.0,646.0,6.0,1.0,354.0,209.0,145.0,7.0
2021-07-29,481001,359686.0,121315.0,7327.0,6566.0,761.0,1618.0,2.0,,1035.0,583.0,1.0,1.0,328.0,193.0,135.0,2.0
2021-07-28,479431,358678.0,120753.0,7325.0,6565.0,760.0,1593.0,2.0,,876.0,717.0,2.0,0.0,343.0,168.0,175.0,2.0
